waterschap;res_gebied;naamgeving;min_uur;med_uur;gj_exwko;min_gj_ex;opmerking;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
De Stichtse Rijnlanden;Midden-Holland;Waarder;3.43;7.0;193.84;0.0;;;GM1901;;;;GM1901;;;;GM1901;;;False;False;False;52.0593475847975;4.825086721014142;WarmteAtlas:TEA_assets_zonder_wko;;;
De Stichtse Rijnlanden;Midden-Holland;Driebruggen;4.165;8.5;235.37;0.0;;;GM1901;;;;GM1901;;;;GM1901;;;False;False;False;52.046056478599006;4.805976699773077;WarmteAtlas:TEA_assets_zonder_wko;;;
De Stichtse Rijnlanden;Midden-Holland;Nieuwerbrug;3.92;8.0;221.53;0.0;;;GM1901;2415.0;;;GM1901;2415.0;;;GM1901;2415.0;;False;False;False;52.07526342558819;4.8198551473907125;WarmteAtlas:TEA_assets_zonder_wko;;;
HHS van Delfland;Rotterdam-Den Haag;Rg De Lier;134.26;274.0;15484.72;7587.51;;;GM1783;2678.0;;;GM1783;2678.0;;;GM1783;2678.0;;False;False;False;51.97234784941632;4.254845889279859;WarmteAtlas:TEA_assets_zonder_wko;;;
HHS van Delfland;Rotterdam-Den Haag;Rg Honselersdijk;46.06;94.0;5312.27;2603.01;;;GM1783;2675.0;;;GM1783;2675.0;;;GM1783;2675.0;;False;False;False;52.00683447768542;4.226163118815708;WarmteAtlas:TEA_assets_zonder_wko;;;
HHS van Delfland;Rotterdam-Den Haag;Rg Maasdijk;26.46;54.0;3051.73;1495.34;;;GM1783;2676.0;;;GM1783;2676.0;;;GM1783;2676.0;;False;False;False;51.96186844073305;4.214734303505989;WarmteAtlas:TEA_assets_zonder_wko;;;
HHS van Delfland;Rotterdam-Den Haag;Rg Naaldwijk;153.206666667;312.666666667;17669.91;8658.26;;;GM1783;2671.0;;;GM1783;2671.0;;;GM1783;2671.0;;False;False;False;51.99867774210651;4.211586822007482;WarmteAtlas:TEA_assets_zonder_wko;;;
HHS van Delfland;Rotterdam-Den Haag;Rg Monster;100.041666667;204.166666667;11538.19;5653.71;;;GM1783;2681.0;;;GM1783;2681.0;;;GM1783;2681.0;;False;False;False;52.03447763636525;4.18316933001529;WarmteAtlas:TEA_assets_zonder_wko;;;
HHS van Delfland;Rotterdam-Den Haag;Rg Heenweg;7.51333333332;15.3333333333;424.6;0.0;;;GM1783;2691.0;;;GM1783;2691.0;;;GM1783;2691.0;;False;False;False;51.98363292434636;4.182555158315768;WarmteAtlas:TEA_assets_zonder_wko;;;
HHS van Delfland;Rotterdam-Den Haag;Rg Groeneweg;6.86;14.0;387.68;0.0;;;GM1783;2691.0;;;GM1783;2691.0;;;GM1783;2691.0;;False;False;False;51.981376811910316;4.196859312499902;WarmteAtlas:TEA_assets_zonder_wko;;;
HHS van Delfland;Rotterdam-Den Haag;Rg Staelduinen;50.6333333332;103.333333333;5839.73;2861.47;;;GM1783;2691.0;;;GM1783;2691.0;;;GM1783;2691.0;;False;False;False;51.96632632423877;4.190311181174679;WarmteAtlas:TEA_assets_zonder_wko;;;
HHS van Delfland;Rotterdam-Den Haag;Rg s-Gravenzande;334.833333333;683.333333333;38617.62;18922.63;;;GM1783;2691.0;;;GM1783;2691.0;;;GM1783;2691.0;;False;False;False;51.99253199879586;4.169264922540502;WarmteAtlas:TEA_assets_zonder_wko;;;
HHS van Delfland;Rotterdam-Den Haag;Rg Naaldwijk Zuid;37.5666666667;76.6666666667;4332.7;2123.02;;;GM1783;2671.0;;;GM1783;2671.0;;;GM1783;2671.0;;False;False;False;51.98624133400265;4.2076132288021695;WarmteAtlas:TEA_assets_zonder_wko;;;
HHS van Delfland;Rotterdam-Den Haag;Rg Molenweide/ Rg Maasland;169.54;346.0;19553.7;9581.31;;;GM1842;3155.0;;;GM1842;3155.0;;;GM1842;3155.0;;False;False;False;51.940450005707206;4.26945641885436;WarmteAtlas:TEA_assets_zonder_wko;;;
HHS van Delfland;Rotterdam-Den Haag;Rg Lookwatering;14.2916666667;29.1666666667;403.83;0.0;;;GM1842;2635.0;;;GM1842;2635.0;;;GM1842;2635.0;;False;False;False;52.009912990424276;4.318485076952841;WarmteAtlas:TEA_assets_zonder_wko;;;
HHS van Delfland;Rotterdam-Den Haag;Rg Berkel;104.125;212.5;12009.14;5884.47;;;GM1621;2652.0;;;GM1621;2652.0;;;GM1621;2652.0;;False;False;False;51.98605454817508;4.462037533920077;WarmteAtlas:TEA_assets_zonder_wko;;;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;Diemen R3;69.0083333332;140.833333333;7958.99;3899.9;;;GM0384;1112.0;;;GM0384;1112.0;;;GM0384;1112.0;;False;False;False;52.32987855744503;4.949549376068545;WarmteAtlas:TEA_assets_zonder_wko;;;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;Diependaalselaan Hilversum;82.6875;168.75;9536.67;4672.96;;;GM0402;1215.0;;;GM0402;1215.0;;;GM0402;1215.0;;False;False;False;52.214174085084494;5.150297869793468;WarmteAtlas:TEA_assets_zonder_wko;;;
